Job Title,Rating,Company Name,Size,Founded,Type of ownership,Sector,Position,lower_salary,higher_salary,city,state,state_full
Data Analyst I,4.1,"Insight Enterprises, Inc.",5001 to 10000 employees,1988,Company - Public,Information Technology,2,24000,48000,Plano,TX,Texas
Data Analyst II,4.1,"Insight Enterprises, Inc.",5001 to 10000 employees,1988,Company - Public,Information Technology,2,24000,48000,Plano,TX,Texas
Data Conversion Analyst,4.3,Harris Computer,5001 to 10000 employees,1976,Subsidiary or Business Segment,Information Technology,2,24000,48000,Allen,TX,Texas
Data Analyst - Retail (Entry Level),3.3,Lidl,10000+ employees,1994,Company - Private,Retail,2,24000,48000,Arlington,TX,Texas
Data Analyst - Healthcare Fraud,3.1,Delmarva Foundation,501 to 1000 employees,1973,Nonprofit Organization,Business Services,2,24000,48000,Dallas,TX,Texas
Data Analyst Intern,4.9,"Pieces Technology, Inc.",51 to 200 employees,2015,Company - Private,Information Technology,2,24000,48000,Dallas,TX,Texas
Data Analyst BHJOB11946_,3.3,Addison Group,501 to 1000 employees,1999,Company - Private,Business Services,2,24000,48000,Dallas,TX,Texas
SQL Data Analyst,3.9,Mondo,51 to 200 employees,2000,Company - Private,Business Services,2,24000,48000,Dallas,TX,Texas
Data Science - Analyst/Associate - Security Incident Response Team,4,Goldman Sachs,10000+ employees,1869,Company - Public,Finance,2,24000,48000,Dallas,TX,Texas
"Analyst, Data Intelligence",3.7,The Richards Group,501 to 1000 employees,1957,Company - Private,Business Services,2,24000,48000,Dallas,TX,Texas
HR Data Analyst II,3.7,Federal Reserve Bank,1001 to 5000 employees,1914,Company - Private,Finance,2,24000,48000,Dallas,TX,Texas
Data Analyst,4.4,"InfoVision, Inc.",1001 to 5000 employees,1995,Company - Private,Information Technology,2,24000,48000,Dallas,TX,Texas
Data Science – Analyst/Associate - Security Incident Response Team,4,Goldman Sachs,10000+ employees,1869,Company - Public,Finance,2,24000,48000,Dallas,TX,Texas
IGNITE Graduate Development Program - Application Developer / Data Scientist / Business Analyst,3.4,Atos,10000+ employees,1919,Company - Public,Information Technology,2,24000,48000,Irving,TX,Texas
Data Analyst (HR),3.3,Lidl,10000+ employees,1994,Company - Private,Retail,2,24000,48000,Arlington,TX,Texas
Data Analyst,4.1,Nokia,10000+ employees,1865,Company - Public,Telecommunications,2,24000,48000,Dallas,TX,Texas
"Data Analyst (SQL, Tableau)",3.5,"The Judge Group, Inc.",1001 to 5000 employees,1970,Company - Private,Business Services,2,24000,48000,Richardson,TX,Texas
Data Analyst,3.4,"ZeniMax Media, Inc.",201 to 500 employees,1999,Company - Private,Media,2,24000,48000,Dallas,TX,Texas
Data Analyst (Product Analytics),2.8,Match Group,1001 to 5000 employees,1998,Company - Private,Business Services,2,24000,48000,Dallas,TX,Texas
Data Analyst,2.9,Hilltop Holdings,1001 to 5000 employees,1998,Company - Public,Finance,2,24000,48000,Irving,TX,Texas
Performance Improvement Data Analyst,4,Texas Scottish Rite Hospital for Children,1001 to 5000 employees,1921,Nonprofit Organization,Health Care,2,24000,48000,Dallas,TX,Texas
Junior Data Analyst,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,24000,48000,Dallas,TX,Texas
DALLAS Campus Recruiting 2018 - I&D - Data Analyst,3.8,Capgemini,10000+ employees,1967,Company - Public,Information Technology,2,24000,48000,Dallas,TX,Texas
Data Analyst,4.2,University of Utah,10000+ employees,1850,College / University,Education,2,26000,47000,Salt Lake City,UT,Utah
Data Analyst,3.6,Paladin Consulting Inc,501 to 1000 employees,1983,Company - Private,Information Technology,2,26000,47000,Salt Lake City,UT,Utah
Junior Data Analyst,4.1,Abnormal Security,51 to 200 employees,2018,Company - Private,Information Technology,2,26000,47000,Lehi,UT,Utah
Data Analyst : 20,4.6,Akraya Inc.,51 to 200 employees,2001,Company - Private,Business Services,2,26000,47000,Salt Lake City,UT,Utah
Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,4,Goldman Sachs,10000+ employees,1869,Company - Public,Finance,2,26000,47000,Salt Lake City,UT,Utah
Data Engineer/Data Analyst (REMOTE/Eventually Onsite),4.1,Idexcel Inc.,501 to 1000 employees,1998,Company - Private,Information Technology,2,26000,47000,Salt Lake City,UT,Utah
Data Engineer/Analyst,3.6,SPECTRAFORCE TECHNOLOGIES Inc.,501 to 1000 employees,2000,Company - Private,Business Services,2,26000,47000,Salt Lake City,UT,Utah
Big Data Analyst,2.9,"VED Software Services, Inc.",51 to 200 employees,1995,Company - Private,Information Technology,2,26000,47000,Salt Lake City,UT,Utah
Senior Data Analyst,3.4,Ascential,1001 to 5000 employees,1947,Company - Public,Information Technology,2,26000,47000,Salt Lake City,UT,Utah
Senior Data Analyst,3.8,F5 Networks,5001 to 10000 employees,1996,Company - Public,Information Technology,2,26000,47000,Draper,UT,Utah
Data Scientist/Analyst - Noke,2.7,"Janus International Group, LLC",501 to 1000 employees,2001,Company - Private,Manufacturing,2,26000,47000,Lehi,UT,Utah
Data Analyst - W2 candidate,3.3,ClientSolv Technologies,51 to 200 employees,1994,Company - Private,Information Technology,2,26000,47000,American Fork,UT,Utah
Financial Data Analyst,3.5,Vivint Solar,1001 to 5000 employees,2011,Company - Public,"Oil, Gas, Energy & Utilities",2,26000,47000,Lehi,UT,Utah
Senior Data Analyst,4.1,Shape Security,51 to 200 employees,2011,Company - Private,Information Technology,2,26000,47000,Draper,UT,Utah
Marketing Analyst,3.6,ON Semiconductor,10000+ employees,1999,Company - Public,Manufacturing,1,27000,54000,Phoenix,AZ,Arizona
Senior Environmental Data Analyst,3.8,"Haley & Aldrich, Inc",501 to 1000 employees,1957,Company - Private,Business Services,1,27000,54000,Phoenix,AZ,Arizona
Cyber Security Operations Center Analyst,3.1,MUFG,10000+ employees,1864,Company - Public,Finance,1,27000,54000,Tempe,AZ,Arizona
Data Analyst,2.9,The Paragon Group,1001 to 5000 employees,1985,Company - Public,Finance,1,27000,54000,Scottsdale,AZ,Arizona
QA Analyst- HCM,4.9,"Atrilogy Solutions Group, Inc.",51 to 200 employees,2000,Company - Private,Information Technology,1,27000,54000,Phoenix,AZ,Arizona
Programmer Analyst - C#,4.5,Athreya Inc,1 to 50 employees,2002,Company - Private,Information Technology,1,27000,54000,Phoenix,AZ,Arizona
"Business Analyst II(Claims, Configuration)",3.3,Centene Corporation,10000+ employees,1984,Company - Public,Insurance,1,27000,54000,Tempe,AZ,Arizona
Liquidity Business Mgmt Analyst III,3.5,Silicon Valley Bank,1001 to 5000 employees,1983,Company - Public,Finance,1,27000,54000,Tempe,AZ,Arizona
Cybersecurity Business Consultant,3.8,Honeywell,10000+ employees,1885,Company - Public,Information Technology,1,27000,54000,Phoenix,AZ,Arizona
"Business Analyst I (Contracting, PDM, Excel)",3.3,Centene Corporation,10000+ employees,1984,Company - Public,Insurance,1,27000,54000,Tempe,AZ,Arizona
Quality Improvement Analyst.,3.7,Wellcare,5001 to 10000 employees,1985,Company - Public,Insurance,1,27000,54000,Tempe,AZ,Arizona
Reconciliations Analyst,2.6,International Bancshares Corp,1001 to 5000 employees,1966,Company - Public,Finance,1,27000,48000,San Antonio,TX,Texas
Business Manager: Gardens,4.1,RIM,201 to 500 employees,1997,Company - Private,Transportation & Logistics,1,27000,48000,San Antonio,TX,Texas
Cybersecurity Host Based Analyst Specialist,3.3,Akima Management Services,5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,1,27000,48000,San Antonio,TX,Texas
"Equity Research – Business, Education & Prof Services - Associate",3.5,Deutsche Bank,10000+ employees,1870,Company - Public,Finance,1,27000,48000,San Antonio,TX,Texas
Senior Cybersecurity Analyst,3.6,Marathon Petroleum Corporation,10000+ employees,1887,Company - Public,"Oil, Gas, Energy & Utilities",1,27000,48000,San Antonio,TX,Texas
"Government & Public Sector - Cyber/Technology Risk - Analyst - San Antonio, TX",3.8,EY,10000+ employees,1989,Company - Private,Accounting & Legal,1,27000,48000,San Antonio,TX,Texas
Federal - Implementation Consultant,4.2,Solekai Systems Corp,1 to 50 employees,2002,Company - Private,Information Technology,1,27000,48000,San Antonio,TX,Texas
Environmental GIS Analyst,3.3,Tepa,201 to 500 employees,2005,Company - Private,Business Services,1,27000,48000,Lackland AFB,TX,Texas
Emergency Management Modeling and Simulation Analyst,3.4,DAWSON,51 to 200 employees,1946,Company - Private,Business Services,1,27000,48000,San Antonio,TX,Texas
"Healthcare Analyst, Claims/Encounter Data",3.1,Healthfirst,1001 to 5000 employees,1993,Nonprofit Organization,Insurance,2,27000,52000,New York,NY,New York
TX Healthcare Data/Reporting Analyst,3.5,SAT Healthcare,201 to 500 employees,2002,Company - Private,Health Care,2,27000,52000,New York,NY,New York
Senior Data Analyst - Regulatory Reporting,4,American CyberSystems,10000+ employees,1998,Company - Private,Information Technology,2,27000,52000,New York,NY,New York
Senior Specialist Data Analyst,3.2,The Bank of New York Mellon,10000+ employees,1784,Company - Public,Finance,2,27000,52000,New York,NY,New York
SQL Report Developer Data Analyst,3.3,M&T Bank Corporation,10000+ employees,1856,Company - Public,Finance,2,27000,52000,New York,NY,New York
"Data Analyst,, Sales Operations - Oracle Data Cloud",3.6,Oracle,10000+ employees,1977,Company - Public,Information Technology,2,27000,52000,New York,NY,New York
"Senior Analyst, Data Analytics",3.6,CMI/Compas,501 to 1000 employees,1989,Company - Private,Business Services,2,27000,52000,New York,NY,New York
Senior Data Analyst (Product),4.3,AbleTo,51 to 200 employees,2008,Company - Private,Health Care,2,27000,52000,New York,NY,New York
Senior Data Analyst - Data Cataloging / Data Profiling,4,Reliable Software Resources,501 to 1000 employees,2004,Company - Private,Information Technology,2,27000,52000,New York,NY,New York
2021 Summer Analyst Program- Data & Analytics Solutions,3.7,Eagle Investment Systems,501 to 1000 employees,1989,Subsidiary or Business Segment,Finance,2,27000,52000,New York,NY,New York
Technical Data Analyst,4.1,Kforce,10000+ employees,1966,Company - Public,Business Services,2,27000,52000,Summit,NJ,New Jersey
"Senior Analyst, Customer Master Data",3.3,Hikma Pharmaceuticals,5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,2,27000,52000,Berkeley Heights,NJ,New Jersey
Data Analyst/Project Manager,3.4,SMBC Group,10000+ employees,1996,Company - Public,Finance,2,27000,52000,Jersey City,NJ,New Jersey
Data Analyst II - Division of Endocrinology,3.1,Mount Sinai Medical Center,1001 to 5000 employees,1946,Nonprofit Organization,Health Care,2,27000,52000,New York,NY,New York
Sr. Reference Data Business Analyst - SQL,3.7,Citi,10000+ employees,1812,Company - Public,Finance,2,27000,52000,Jersey City,NJ,New Jersey
Data Management Analyst (ADDM04) SEC SVCS OPS DATA GOVERNANCE - NA,3.9,JPMorgan Chase,10000+ employees,1799,Company - Public,Finance,2,27000,52000,Brooklyn,NY,New York
BA With Data Analyst Skills,4.1,Mitchell Martin,501 to 1000 employees,1984,Company - Private,Business Services,2,27000,52000,Jersey City,NJ,New Jersey
"Data & Reporting Analyst, GNHCC",3.3,VNA Health Group,1001 to 5000 employees,1912,Nonprofit Organization,Non-Profit,2,27000,52000,Essex Fells,NJ,New Jersey
Principal Business Analyst - Data Governance,4.1,Rockstar Games,1001 to 5000 employees,1998,Subsidiary or Business Segment,Media,2,27000,52000,New York,NY,New York
Business Analyst/Data Analyst - Capital Markets,3,RMS Computer,201 to 500 employees,1985,Company - Private,Information Technology,2,27000,52000,Jersey City,NJ,New Jersey
".net, sharepoint, Java, Data analyst, Business Analyst",3.4,Hexacorp,51 to 200 employees,2001,Company - Private,Information Technology,2,27000,52000,New York,NY,New York
ETL Datastage Developer/IBM Infosphere Datastage Consultant(ETL Data Analyst)-Only NY/NJ candidates Please,4.8,TechProjects,1 to 50 employees,2011,Company - Private,Information Technology,2,27000,52000,New York,NY,New York
Consumer Lending Data Analyst,3.2,Informa,10000+ employees,1998,Company - Public,Media,2,27000,52000,New York,NY,New York
Solar Data Analyst,3.7,Momentum Solar,501 to 1000 employees,2009,Company - Private,"Oil, Gas, Energy & Utilities",2,27000,52000,South Plainfield,NJ,New Jersey
Data Science Lead Analyst,4.6,VIVA USA INC,51 to 200 employees,1996,Company - Private,Information Technology,2,27000,52000,Franklin Lakes,NJ,New Jersey
Lead Analyst-Planning & Analysis,3.7,Lyondellbasell,10000+ employees,2007,Company - Public,Manufacturing,1,28000,52000,Houston,TX,Texas
Cost Data Analyst,3.8,Mondo,51 to 200 employees,2000,Company - Private,Business Services,1,28000,52000,Houston,TX,Texas
SAP Business Objects Analyst,4,Kairos Technologies,51 to 200 employees,2003,Company - Private,Information Technology,1,28000,52000,Houston,TX,Texas
Systems Analyst,4.3,Gulf States Toyota,1001 to 5000 employees,1969,Company - Private,Retail,1,28000,52000,Houston,TX,Texas
Applications Support Analyst,3.9,JPMorgan Chase,10000+ employees,1799,Company - Public,Finance,1,28000,52000,Houston,TX,Texas
PNL Analyst,3.4,Loves Travel Stops & Country Store,10000+ employees,1964,Company - Private,Retail,1,28000,52000,Houston,TX,Texas
Data Analyst II,2.8,Virtus Partners,201 to 500 employees,2005,Company - Private,Finance,1,28000,52000,Houston,TX,Texas
Implementation Analyst,3.4,Thermo Fisher Scientific,10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,1,28000,52000,Houston,TX,Texas
Financial Analyst,3.6,Emerson Electric Co.,10000+ employees,1890,Company - Public,Manufacturing,1,28000,52000,Houston,TX,Texas
Senior Data Analyst,3.9,BTG,1 to 50 employees,1921,Company - Public,Business Services,1,28000,54000,Jacksonville,FL,Florida
Implementation - Conversion Analyst I - Integrated Payables,3.6,FIS,10000+ employees,1968,Company - Public,Finance,1,28000,54000,Jacksonville,FL,Florida
"Assistant Vice President, Anti Financial Crime Data Quality Analyst - {KP4457495}",3.5,Deutsche Bank,10000+ employees,1870,Company - Public,Finance,1,28000,54000,Jacksonville,FL,Florida
Senior Consultant- SAP Basis,3.8,EY,10000+ employees,1989,Company - Private,Accounting & Legal,1,28000,54000,Jacksonville,FL,Florida
